dateTime,activities-calories,activities-steps,Activities-distance,activities-floors,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-efficiency
2015-04-20,1811,1556,1,0,,0,0,0
2015-04-21,1971,7294,5,0,00:33,447,447,100
2015-04-22,1784,262,0,0,01:15,503,503,100
2015-04-23,1878,4233,3,0,01:00,427,427,100
2015-04-24,2054,11053,8,0,01:08,458,458,100
2015-04-25,2065,11042,8,0,02:11,418,418,100
2015-04-26,1985,7555,5,0,,0,0,0
2015-04-27,1901,4905,3,0,01:00,465,465,100
2015-04-28,1919,5982,4,0,00:00,465,465,100
2015-04-29,2003,7927,5,0,01:01,468,468,100
2015-04-30,1991,8217,6,0,00:30,498,498,100
2015-05-01,2273,19157,14,0,01:19,514,514,100
2015-05-02,1902,5203,3,0,,0,0,0
2015-05-03,1994,8349,6,0,01:00,487,487,100
2015-05-04,1953,6390,4,0,00:59,463,463,100
2015-05-05,1880,4620,3,0,00:50,442,442,100
2015-05-06,1958,7553,5,0,01:11,460,460,100
2015-05-07,1896,5379,3,0,01:34,431,431,100
2015-05-08,1971,7779,5,0,01:19,450,450,100
2015-05-09,2009,9679,7,0,01:33,407,407,100
2015-05-10,1923,6001,4,0,01:47,438,438,100
2015-05-11,1962,7411,5,0,00:49,483,483,100
2015-05-12,1946,7495,5,0,00:21,446,446,100
2015-05-13,1913,5714,4,0,01:01,466,466,100
2015-05-14,2021,8971,6,0,01:58,411,411,100
2015-05-15,2073,11034,8,0,01:28,440,440,100
2015-05-16,2100,12636,9,0,01:52,369,369,100
2015-05-17,1963,7351,5,0,,0,0,0
2015-05-18,2061,11303,8,0,01:35,428,428,100
2015-05-19,1939,6647,4,0,00:39,435,435,100
2015-05-20,2106,12799,9,0,22:01,646,646,100
2015-05-21,1919,6164,4,0,,0,0,0
2015-05-22,1941,6264,4,0,00:58,469,469,100
2015-05-23,1821,2042,1,0,23:28,654,654,100
2015-05-24,2216,16627,12,0,01:30,464,464,100
2015-05-25,2012,9730,7,0,,0,0,0
2015-05-26,1968,7589,5,0,01:57,411,411,100
2015-05-27,1907,5344,3,0,01:39,398,398,100
2015-05-28,1864,3709,2,0,,0,0,0
2015-05-29,1960,8373,6,0,20:00,768,768,100
2015-05-30,1979,7381,5,0,01:18,449,449,100
2015-05-31,1998,8454,6,0,01:55,481,481,100
2015-06-01,1911,5510,4,0,00:57,468,468,100
2015-06-02,1981,7338,5,0,,0,0,0
2015-06-03,1929,6824,5,0,01:17,449,449,100
2015-06-04,1937,6953,5,0,01:04,460,460,100
2015-06-05,2015,9891,7,0,,0,0,0
2015-06-06,1983,8921,6,0,00:18,506,506,100
2015-06-07,1892,4997,3,0,,0,0,0
2015-06-08,1909,5427,4,0,00:44,485,485,100
2015-06-09,2041,10144,7,0,01:41,420,420,100
2015-06-10,2027,9800,7,0,03:27,396,396,100
2015-06-11,1892,4771,3,0,,0,0,0
2015-06-12,1880,4763,3,0,20:39,784,784,100
2015-06-13,1881,4315,3,0,,0,0,0
2015-06-14,1878,4133,3,0,,0,0,0
2015-06-15,2092,7385,5,0,00:46,438,438,100
2015-06-16,1887,4537,3,0,00:44,462,462,100
2015-06-17,1886,3992,2,0,00:34,469,469,100
2015-06-18,1932,5878,4,0,00:53,458,458,100
2015-06-19,1862,4078,3,0,01:27,385,385,100
2015-06-20,2103,13385,9,0,,0,0,0
2015-06-21,1886,4748,3,0,,0,0,0
2015-06-22,1933,6487,4,0,00:49,477,477,100
2015-06-23,1863,3896,2,0,00:31,453,453,100
2015-06-24,1894,4628,3,0,,0,0,0
2015-06-25,1945,6532,4,0,01:20,445,445,100
2015-06-26,2032,9934,7,0,01:24,413,413,100
2015-06-27,1940,6147,4,0,,0,0,0
2015-06-28,2022,9552,7,0,01:47,544,544,100
2015-06-29,1957,6967,5,0,01:27,438,438,100
2015-06-30,2051,7295,5,0,01:18,430,430,100
2015-07-01,2076,11979,8,0,00:39,546,546,100
2015-07-02,1880,4291,3,0,,0,0,0
2015-07-03,2392,24214,17,0,00:55,366,366,100
2015-07-04,1784,513,0,0,,0,0,0
2015-07-05,1944,6859,5,0,01:35,514,514,100
2015-07-06,2020,8361,6,0,02:59,333,333,100
2015-07-07,1973,7647,5,0,,0,0,0
2015-07-08,1987,8284,6,0,,0,0,0
2015-07-09,1958,7293,5,0,01:21,494,494,100
2015-07-10,1942,7367,5,0,,0,0,0
2015-07-11,2002,9102,6,0,01:16,404,404,100
2015-07-12,1869,4308,3,0,03:54,331,331,100
2015-07-13,1857,3636,2,0,04:00,312,312,100
2015-07-14,1956,7612,5,0,05:45,310,310,100
2015-07-15,2161,14600,10,0,03:37,413,413,100
2015-07-16,2142,13700,10,0,05:36,180,180,100
2015-07-17,2357,22199,16,0,,0,0,0
2015-07-18,1828,1919,1,0,,0,0,0
2015-07-19,1776,38,0,0,,0,0,0
2015-07-20,1947,6731,4,0,,0,0,0
2015-07-21,2005,8833,6,0,00:42,544,544,100
2015-07-22,1984,8311,6,0,03:26,437,437,100
2015-07-23,2114,13074,9,0,02:22,393,393,100
2015-07-24,1908,5660,4,0,,0,0,0
2015-07-25,2140,14551,10,0,01:36,381,381,100
2015-07-26,2093,13044,9,0,05:25,227,227,100
2015-07-27,2121,14378,10,0,04:26,310,310,100
2015-07-28,2091,13037,9,0,05:30,257,257,100
2015-07-29,2049,11173,8,0,02:39,372,372,100
2015-07-30,2074,12061,8,0,,0,0,0
2015-07-31,2091,12603,9,0,,0,0,0
2015-08-01,1978,7988,5,0,01:13,565,565,100
2015-08-02,2177,16579,12,0,01:04,441,441,100
