dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,Activities-distance,activities-floors,activities-elevation,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,total giornata,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
2015-04-20,0,0.0,1811,1778,1556,1,0,0,1414,26,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-04-21,0,0.0,1971,1778,7294,5,0,0,897,96,0,0,993,00:33,447,447,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-22,0,0.0,1784,1778,262,0,0,0,933,4,0,0,937,01:15,503,503,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-23,0,0.0,1878,1778,4233,3,0,0,950,63,0,0,1013,01:00,427,427,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-24,0,0.0,2054,1778,11053,8,0,0,831,151,0,0,982,01:08,458,458,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-25,0,0.0,2065,1778,11042,8,0,0,881,141,0,0,1022,02:11,418,418,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-26,0,0.0,1985,1778,7555,6,0,0,1340,100,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-04-27,0,0.0,1901,1778,4905,4,0,0,903,72,0,0,975,01:00,465,465,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-28,0,0.0,1919,1778,5982,4,0,0,883,92,0,0,975,00:00,465,465,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-29,0,0.0,2003,1778,7927,6,0,0,863,109,0,0,972,01:01,468,468,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-30,0,0.0,1991,1778,8217,6,0,0,837,105,0,0,942,00:30,498,498,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-01,0,0.0,2273,1778,19157,14,0,0,677,249,0,0,926,01:19,514,514,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-02,0,0.0,1902,1778,5203,4,0,0,1362,78,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-05-03,0,0.0,1994,1778,8349,6,0,0,841,112,0,0,953,01:00,487,487,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-04,0,0.0,1953,1778,6390,5,0,0,893,84,0,0,977,00:59,463,463,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-05,0,0.0,1880,1778,4620,3,0,0,920,78,0,0,998,00:50,442,442,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-06,0,0.0,1958,1778,7553,6,0,0,867,113,0,0,980,01:11,460,460,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-07,0,0.0,1896,1778,5379,4,0,0,920,89,0,0,1009,01:34,431,431,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-08,0,0.0,1971,1778,7779,6,0,0,877,113,0,0,990,01:19,450,450,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-09,0,0.0,2009,1778,9679,7,0,0,892,141,0,0,1033,01:33,407,407,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-10,0,0.0,1923,1778,6001,4,0,0,902,100,0,0,1002,01:47,438,438,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-11,0,0.0,1962,1778,7411,5,0,0,852,105,0,0,957,00:49,483,483,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-12,0,0.0,1946,1778,7495,6,0,0,873,121,0,0,994,00:21,446,446,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-13,0,0.0,1913,1778,5714,4,0,0,887,87,0,0,974,01:01,466,466,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-14,0,0.0,2021,1778,8971,7,0,0,910,119,0,0,1029,01:58,411,411,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-15,0,0.0,2073,1778,11034,8,0,0,857,143,0,0,1000,01:28,440,440,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-16,0,0.0,2100,1778,12636,9,0,0,898,173,0,0,1071,01:52,369,369,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-17,0,0.0,1963,1778,7351,5,0,0,1336,104,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-05-18,0,0.0,2061,1778,11303,8,0,0,860,152,0,0,1012,01:35,428,428,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-19,0,0.0,1939,1778,6647,5,0,0,782,104,0,0,886,00:39,435,435,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-20,0,0.0,2106,1778,12799,9,0,0,739,174,0,0,913,22:01,646,646,0,0,0,0,100,75.0,23.671255111694336,18.5
