dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,activities-distance,activities-floors,activities-elevation,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
2015-04-20,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-04-21,0,0.0,1778,1778,0,0.0,0,0,993,0,0,0,00:33,447,447,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-22,0,0.0,1778,1778,0,0.0,0,0,937,0,0,0,01:15,503,503,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-23,0,0.0,1778,1778,0,0.0,0,0,1013,0,0,0,01:00,427,427,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-24,0,0.0,1778,1778,0,0.0,0,0,982,0,0,0,01:08,458,458,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-25,0,0.0,1778,1778,0,0.0,0,0,1022,0,0,0,02:11,418,418,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-26,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-04-27,0,0.0,1778,1778,0,0.0,0,0,975,0,0,0,01:00,465,465,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-28,0,0.0,1778,1778,0,0.0,0,0,975,0,0,0,00:00,465,465,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-29,0,0.0,1778,1778,0,0.0,0,0,972,0,0,0,01:01,468,468,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-30,0,0.0,1778,1778,0,0.0,0,0,942,0,0,0,00:30,498,498,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-01,0,0.0,1778,1778,0,0.0,0,0,926,0,0,0,01:19,514,514,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-02,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-05-03,0,0.0,1778,1778,0,0.0,0,0,953,0,0,0,01:00,487,487,0,0,0,0,100,75.0,23.671255111694336,18.5
